Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,330000000
4bdrm House in Ikoyi S.W for sale,500.0,4,4,Semi-furnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Lagos State,False,449000000
4bdrm Duplex in Ologolo for sale,500.0,4,4,Semi-furnished,"Lekki, Ologolo",Ologolo,Lagos State,False,200000000
5bdrm Duplex in Lekki Phase 1 for sale,200.0,5,6,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,850000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,200000000
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,Semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,470000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,200000000
3bdrm Apartment in Adeniyi Jones for sale,500.0,3,3,Semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,300000000
5bdrm Duplex in Ologolo for sale,500.0,5,5,Semi-furnished,"Lekki, Ologolo",Ologolo,Lagos State,False,390000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,330000000
"5bdrm Duplex in F01, Kubwa for sale",550.0,5,5,Semi-furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja(FCT),False,185000000
Furnished 5bdrm Duplex in Lekki Ikota for sale,520.0,5,5,Furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,470000000
2bdrm Apartment in Ologolo for sale,500.0,2,2,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos State,False,100000000
4bdrm Duplex in Sabo / Yaba for sale,500.0,4,4,Semi-furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Lagos State,False,300000000
5bdrm Duplex in Isheri North for sale,500.0,5,5,Semi-furnished,"Ojodu, Isheri North",Isheri North,Lagos State,False,360000000
2bdrm Apartment in Ologolo for sale,500.0,2,2,Semi-furnished,"Lekki, Ologolo",Ologolo,Lagos State,False,120000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,500000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,530000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi-furnished,"Lekki, Chevron",Chevron,Lagos State,False,550000000
2bdrm Apartment in Lekki Expressway for sale,200.0,2,2,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,120000000
2bdrm Apartment in Ikate for sale,500.0,2,2,Semi-furnished,"Lekki, Ikate",Ikate,Lagos State,False,160000000
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,850000000
4bdrm Duplex in Agbado for sale,500.0,4,4,Semi-furnished,"Ifako-Ijaiye, Agbado",Agbado,Lagos State,False,330000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,430000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,190000000
3bdrm Block of Flats in Mabushi for sale,350.0,3,3,Unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja(FCT),diamond,180000000
4bdrm Duplex in Fagba Ifako Ijaiye for sale,220.0,4,4,Semi-furnished,"Agege, Fagba",Fagba,Lagos State,enterprise,275000000
2bdrm Penthouse in Ikate for sale,500.0,2,2,Semi-furnished,"Lekki, Ikate",Ikate,Lagos State,False,260000000
2bdrm Apartment in Ajah for sale,200.0,2,3,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,80000000
4bdrm Duplex in Ogba for sale,500.0,4,4,Semi-furnished,"Ogba, Aguda / Ogba",Aguda / Ogba,Lagos State,False,260000000
4bdrm Duplex in Aguda / Surulere for sale,500.0,4,4,Semi-furnished,"Surulere, Aguda / Surulere",Aguda / Surulere,Lagos State,False,300000000
4bdrm Duplex in Oko-Oba for sale,500.0,4,4,Semi-furnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,False,550000000
4bdrm Duplex in Berger for sale,500.0,4,4,Semi-furnished,"Ojodu, Berger",Berger,Lagos State,False,130000000
4bdrm Duplex in Anthony Village for sale,500.0,4,4,Semi-furnished,"Maryland, Anthony Village",Anthony Village,Lagos State,False,350000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,135000000
3bdrm Duplex in Ado / Ajah for sale,500.0,3,3,Semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,120000000
4bdrm Duplex in Adeniyi Jones for sale,500.0,4,4,Semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,400000000
4bdrm Duplex in Adeniyi Jones for sale,500.0,4,4,Semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,380000000
4bdrm Duplex in LSDPC Maryland Estate for sale,500.0,4,4,Semi-furnished,"Maryland, LSDPC Maryland Estate",LSDPC Maryland Estate,Lagos State,False,290000000
4bdrm Duplex in Berger for sale,500.0,4,4,Semi-furnished,"Ojodu, Berger",Berger,Lagos State,False,560000000
5bdrm Duplex in Lekki Phase 2 for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos State,False,550000000
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,700000000
4bdrm Duplex in Lekki for sale,200.0,4,5,Semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,False,260000000
1bdrm Apartment in Lekki Expressway for sale,500.0,1,1,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,85000000
"6bdrm Bungalow in Ogba Ayo, Ogunlana for sale",648.0,6,8,Semi-furnished,"Surulere, Ogunlana",Ogunlana,Lagos State,False,17000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Semi-furnished,"Lekki, Ikota",Ikota,Lagos State,False,195000000
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,130000000
"3bdrm Bungalow in Kajola Ogba Ayo, Ado-Odo/Ota for sale",500.0,3,4,Semi-furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,enterprise,4500000
1bdrm Apartment in Ajah for sale,500.0,1,1,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,55000000
3bdrm Duplex in Ogba GRA for sale,500.0,3,3,Semi-furnished,"Ogba, Ogba GRA",Ogba GRA,Lagos State,False,210000000
2bdrm Penthouse in Ikate for sale,500.0,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,False,270000000
5bdrm Duplex in Off Lekki-Epe Expressway for sale,500.0,5,5,Semi-furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,False,420000000
5bdrm Duplex in Apo Resettlement for sale,500.0,5,5,Unfurnished,"Apo District, Apo Resettlement",Apo Resettlement,Lagos State,diamond,400000000
2bdrm Block of Flats in Ilogbo Ota Ogun for sale,600.0,2,3,Semi-furnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,enterprise,28000000
4bdrm Duplex in Ogba Bus-Stop for sale,400.0,4,4,Semi-furnished,"Ogba, Ogba Bus-Stop",Ogba Bus-Stop,Lagos State,vip_gold,260000000
